Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depends),Outward issue link (Duplicate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Related),Outward issue link (Related),Outward issue link (Supersede),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Actual Story Points),Custom field (Business Value),Custom field (Days since last comment),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (First Response Date),Custom field (Global Rank),Custom field (Last commented by a User),Custom field (Last updater),Custom field (Out of Scope),Custom field (Platform),Custom field (Pull Request URL),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Ranking),Custom field (Reference URL),Custom field (Spring Forum Reference),Sprint,Custom field (Story Points),Custom field (Virtual Machine),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Disable remove for cloud application,STS-537,74388,73407,Sub-task,Resolved,STS,Spring Tool Suite,software,mlippert,"The Spring Tool Suite™ (STS) provides the best Eclipse-powered development environment for building Spring-powered enterprise applications.
  
<div style=""background-color: white; border: 1px solid red; margin: 3px; padding: 2px; font-weight: bold; text-align: center;"">
This Jira project is now archived as read-only, please file new issues at <a href=""https://github.com/spring-projects/spring-ide/issues"">https://github.com/spring-projects/spring-ide/issues</a> </div>
",http://spring.io/tools/,Major,Fixed,thon,thon,thon,02/Oct/09 10:39 AM,05/Jul/11 1:08 PM,10/May/19 2:36 AM,05/Jul/11 1:08 PM,,,,,,,,2.7.0.M3 (CF),,,,,CLOUDFOUNDRY,,,,0,,,,,,,,"Since deleting application is currently not possible, we should either disable remove action on application context menu or hides application if user selects that action.",,"Time worked: 01:23 from Fri, 2 Oct 2009 00:00:00 -0700 to Fri, 2 Oct 2009 23:59:59 -0700.;02/Oct/09 6:04 PM;thon;4980","Time worked: 00:14 from Mon, 5 Oct 2009 00:00:00 -0700 to Mon, 5 Oct 2009 23:59:59 -0700.;06/Oct/09 9:18 AM;thon;840",,,,,,,0,0,5820,"9,223,372,036,854,775,807%",0,0,5820,,,,,,,,,,,,,,,,,,,,,,,,,,,302918400,,,,,,9223372036854775807,true,tmarshall(tmarshall),,,,0|i0adnj:,9223372036854775807,9223372036854775807,,,,,,02/Oct/09 4:08 PM;thon;Remove action cannot be disabled easily as it is created in the server view and it is always set to be enabled. Will have to look at another way to deal with when this action is run,,,,,,,,,,,,,,,,,,,,,,,
Connect Cloud Foundry account when user finishes the server wizard,STS-536,75919,73407,Sub-task,Resolved,STS,Spring Tool Suite,software,mlippert,"The Spring Tool Suite™ (STS) provides the best Eclipse-powered development environment for building Spring-powered enterprise applications.
  
<div style=""background-color: white; border: 1px solid red; margin: 3px; padding: 2px; font-weight: bold; text-align: center;"">
This Jira project is now archived as read-only, please file new issues at <a href=""https://github.com/spring-projects/spring-ide/issues"">https://github.com/spring-projects/spring-ide/issues</a> </div>
",http://spring.io/tools/,Major,Fixed,thon,thon,thon,02/Oct/09 10:37 AM,01/Dec/10 12:00 PM,10/May/19 2:36 AM,02/Oct/09 4:06 PM,,,,,,,,2.2.0.RELEASE,Sprint 4,,,,,,,,0,Y3M1,,,,,,,,,"Time worked: 02:01 from Fri, 2 Oct 2009 00:00:00 -0700 to Fri, 2 Oct 2009 23:59:59 -0700.;02/Oct/09 6:04 PM;thon;7260",,,,,,,,0,0,7260,"9,223,372,036,854,775,807%",0,0,7260,,,,,,,,,,,,,,,,,,,,,,,,,,,302918400,,,,,,9223372036854775807,true,tmarshall(tmarshall),,,,0|i0adp3:,9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement 'Run on Server...',STS-535,76334,73407,Sub-task,Resolved,STS,Spring Tool Suite,software,mlippert,"The Spring Tool Suite™ (STS) provides the best Eclipse-powered development environment for building Spring-powered enterprise applications.
  
<div style=""background-color: white; border: 1px solid red; margin: 3px; padding: 2px; font-weight: bold; text-align: center;"">
This Jira project is now archived as read-only, please file new issues at <a href=""https://github.com/spring-projects/spring-ide/issues"">https://github.com/spring-projects/spring-ide/issues</a> </div>
",http://spring.io/tools/,Major,Fixed,ldossantos,ldossantos,ldossantos,02/Oct/09 9:45 AM,01/Dec/10 12:00 PM,10/May/19 2:36 AM,03/Oct/09 10:15 PM,,,,,,,,2.2.0.RELEASE,Sprint 4,,,,,,,,0,y3m1,,,,,,,,,;02/Oct/09 7:23 PM;ldossantos;25200,;05/Oct/09 10:57 AM;spingel;10800,,,,,,,0,0,36000,"9,223,372,036,854,775,807%",0,0,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,302918400,,,,,,9223372036854775807,true,tmarshall(tmarshall),,,,0|i0adov:,9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When restarting STS with an open config editor, the editor does not load the beans graph page.",STS-534,72615,,Bug,Resolved,STS,Spring Tool Suite,software,mlippert,"The Spring Tool Suite™ (STS) provides the best Eclipse-powered development environment for building Spring-powered enterprise applications.
  
<div style=""background-color: white; border: 1px solid red; margin: 3px; padding: 2px; font-weight: bold; text-align: center;"">
This Jira project is now archived as read-only, please file new issues at <a href=""https://github.com/spring-projects/spring-ide/issues"">https://github.com/spring-projects/spring-ide/issues</a> </div>
",http://spring.io/tools/,Minor,Fixed,,ldossantos,ldossantos,02/Oct/09 9:12 AM,30/Nov/10 4:57 PM,10/May/19 2:36 AM,05/Oct/09 4:56 PM,,,,,,,,2.2.0.RELEASE,Sprint 4,,,,,,,,0,Y3M1,,,,,,,,,;05/Oct/09 4:56 PM;ldossantos;15000,,,,,,,,0,0,15000,"9,223,372,036,854,775,807%",0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,302659200,,,,,,9223372036854775807,true,tmarshall(tmarshall),,,,0|i0adof:,9223372036854775807,9223372036854775807,,,,,,"05/Oct/09 11:15 AM;ldossantos;On startup, Eclipse will load previously open editors eagerly. At this point Spring IDE has not loaded its BeansModel yet. Need to defer loading of the beans graph page.","05/Oct/09 4:56 PM;ldossantos;The beans graph page will now load as soon as the beans model has been loaded. This will occur a few seconds after startup, and will not be immediate.",,,,,,,,,,,,,,,,,,,,,,
SQL Server error code 209 should map to BadSqlGrammarException,SPR-9946,45962,,Improvement,Closed,SPR,Spring Framework,software,juergen.hoeller,"This project has moved all of it's issues to <a href=""https://github.com/spring-projects/spring-framework/issues"">GitHub</a>. Please open new issues there.",http://projects.spring.io/spring-framework/,Trivial,Complete,cbeams,jfreedman,jfreedman,02/Nov/12 3:42 AM,15/Jan/19 5:27 PM,10/May/19 2:36 AM,02/Nov/12 6:20 AM,,,,,,,,3.2 RC1,,,,,Data:JDBC,,,,0,,,,,,,,"Executing the following statement currently throws a TransientDataAccessResourceException but should throw a BadSqlGrammarException

{code}SELECT x.foo x, y.foo y
FROM (
    SELECT 'x' foo
) x
JOIN (
    SELECT 'x' foo
) y ON y.foo = x.foo
ORDER BY foo{code}

There's nothing transient about this error",,;02/Nov/12 7:07 AM;cbeams;1800,,,,,,,,,0,1800,,,0,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,9936000,,,,,2012-11-02 06:20:06.21,32852,true,issuemaster(issuemaster),,,,0|i05xrz:,34678,32554,,,,,,"02/Nov/12 6:20 AM;cbeams;{quote}
{noformat}
commit 74e86fe52fbb831d0512819c205817edcd5ffc77
Author: Chris Beams <cbeams@vmware.com>
Commit: Chris Beams <cbeams@vmware.com>

    Support SQL exception translation for MSSQL 209
    
    SQL Server error 209 [1] will now raise a BadSqlGrammarException.
    
    [1]: http://www.sql-server-helper.com/error-messages/msg-1-500.aspx
    
    Issue: SPR-9946
{noformat}
{quote}
",14/Jan/19 8:40 PM;issuemaster;The Spring Framework has migrated to [GitHub Issues|https://github.com/spring-projects/spring-framework/issues]. This issue corresponds to [spring-projects/spring-framework#14579|https://github.com/spring-projects/spring-framework/issues/14579]. ,,,,,,,,,,,,,,,,,,,,,,
AbstractEnvironment addActiveProfile ignores profiles activated with properties,SPR-9944,45947,,Bug,Closed,SPR,Spring Framework,software,juergen.hoeller,"This project has moved all of it's issues to <a href=""https://github.com/spring-projects/spring-framework/issues"">GitHub</a>. Please open new issues there.",http://projects.spring.io/spring-framework/,Minor,Fixed,cbeams,jankronquist,jankronquist,01/Nov/12 7:57 AM,15/Jan/19 5:27 PM,10/May/19 2:36 AM,02/Nov/12 7:06 AM,3.1.3,,,,,,,3.2 RC1,,,,,Core,,,,0,,,,,,,,"addActiveProfile does not check if profiles are initiated using a property. This means that you have to call getActiveProfiles() before calling addActiveProfile!

See code below:
{code}
protected Set<String> doGetActiveProfiles() {
	if (this.activeProfiles.isEmpty()) {
		String profiles = this.getProperty(ACTIVE_PROFILES_PROPERTY_NAME);
		if (StringUtils.hasText(profiles)) {
			setActiveProfiles(commaDelimitedListToStringArray(trimAllWhitespace(profiles)));
		}
	}
	return this.activeProfiles;
}

public void addActiveProfile(String profile) {
	if (this.logger.isDebugEnabled()) {
		this.logger.debug(format(""Activating profile '%s'"", profile));
	}
	this.validateProfile(profile);
	this.activeProfiles.add(profile);
}
{code}",,;02/Nov/12 7:06 AM;cbeams;3600,,,,,,,,,0,3600,,,0,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,9936000,,,,,2012-11-02 07:06:19.242,32837,true,issuemaster(issuemaster),,,,0|i05xon:,34663,32539,,,,,,"02/Nov/12 7:06 AM;cbeams;Thanks, Jan.

{quote}
{noformat}
commit c94bc2e709ab00b154fdedc613b92b093dc0d029
Author: Chris Beams <cbeams@vmware.com>
Commit: Chris Beams <cbeams@vmware.com>

    Respect spring.profiles.active in #addActiveProfile
    
    Prior to this commit, calls to ConfigurableEnvironment#addActiveProfile
    would cause any active profile values provided via the
    ""spring.profiles.active"" property to be ignored.
    
    Now these two mechanisms can be used in conjunction and work as
    expected.
    
    Issue: SPR-9944
{noformat}
{quote}
",14/Jan/19 8:40 PM;issuemaster;The Spring Framework has migrated to [GitHub Issues|https://github.com/spring-projects/spring-framework/issues]. This issue corresponds to [spring-projects/spring-framework#14577|https://github.com/spring-projects/spring-framework/issues/14577]. ,,,,,,,,,,,,,,,,,,,,,,
Fix package cycles in spring-test,SPR-9924,45894,,Task,Closed,SPR,Spring Framework,software,juergen.hoeller,"This project has moved all of it's issues to <a href=""https://github.com/spring-projects/spring-framework/issues"">GitHub</a>. Please open new issues there.",http://projects.spring.io/spring-framework/,Blocker,Complete,sbrannen,cbeams,cbeams,26/Oct/12 5:22 AM,15/Jan/19 5:27 PM,10/May/19 2:36 AM,27/Oct/12 3:17 PM,3.2 RC1,,,,,,,3.2 RC1,,,,,Test,,,,0,,,,,,,,"[~sbrannen], see attached screenshots from Structure 101 - it looks like a couple package cycles crept in during recent changes to spring-test. /cc [~rstoya05-aop]",,,,,,,,,,,0,7200,,,0,7200,,,,,,,,,,,,,,26/Oct/12 5:22 AM;cbeams;Screen Shot 2012-10-26 at 2.20.23 PM.png;https://jira.spring.io/secure/attachment/20588/Screen+Shot+2012-10-26+at+2.20.23+PM.png,26/Oct/12 5:22 AM;cbeams;Screen Shot 2012-10-26 at 2.20.47 PM.png;https://jira.spring.io/secure/attachment/20589/Screen+Shot+2012-10-26+at+2.20.47+PM.png,27/Oct/12 12:13 PM;cbeams;Screen Shot 2012-10-27 at 9.12.33 PM.png;https://jira.spring.io/secure/attachment/20593/Screen+Shot+2012-10-27+at+9.12.33+PM.png,,,,,,,,,,,9936000,,,,,2012-10-27 11:44:59.239,32784,true,issuemaster(issuemaster),,,,0|i05xcn:,34609,32486,,,,,,"27/Oct/12 11:44 AM;sbrannen;Completed as described in the comments for [GitHub commit 90c5f226b6|https://github.com/SpringSource/spring-framework/commit/90c5f226b62503b492167bcd87361842f73d18b1]:

{quote}
*Fix package cycles in spring-test*

Code introduced in conjunction with SPR-5243 introduced package cycles
between the ~.test.context.web and ~.test.context.support packages. This
was caused by the fact that ServletTestExecutionListener extended
AbstractTestExecutionListener.

To address this, ServletTestExecutionListener now implements
TestExecutionListener directly.
{quote}","27/Oct/12 12:13 PM;cbeams;Hi Sam,

Some tangles have indeed been resolved, but it looks like one remains. See the screenshot, thanks.","27/Oct/12 3:17 PM;sbrannen;Completed as described in the comments for [GitHub commit 461d99af29|https://github.com/SpringSource/spring-framework/commit/461d99af29e8c358ff80ff9ff58a8ea63fe7b670]:

{quote}
*Fix package cycles in spring-test*

Code introduced in conjunction with SPR-5243 introduced package cycles
between the ~.test.context and ~.test.context.web packages. This was
caused by the fact that ContextLoaderUtils worked directly with the
@WebAppConfiguration and WebMergedContextConfiguration types.

To address this, the following methods have been introduced in
ContextLoaderUtils. These methods use reflection to circumvent hard
dependencies on the @WebAppConfiguration and
WebMergedContextConfiguration types.

 - loadWebAppConfigurationClass()
 - buildWebMergedContextConfiguration()
{quote}",14/Jan/19 8:40 PM;issuemaster;The Spring Framework has migrated to [GitHub Issues|https://github.com/spring-projects/spring-framework/issues]. This issue corresponds to [spring-projects/spring-framework#14557|https://github.com/spring-projects/spring-framework/issues/14557]. ,,,,,,,,,,,,,,,,,,,,
Refactor AnnotationAttributes convenience methods,SPR-9911,45812,,Refactoring,Resolved,SPR,Spring Framework,software,juergen.hoeller,"This project has moved all of it's issues to <a href=""https://github.com/spring-projects/spring-framework/issues"">GitHub</a>. Please open new issues there.",http://projects.spring.io/spring-framework/,Minor,Works as Designed,cbeams,cbeams,cbeams,23/Oct/12 3:11 AM,15/Jan/19 1:15 AM,10/May/19 2:36 AM,23/Oct/12 3:25 AM,3.1.1,,,,,,,,,,,,,,,,0,,,,,,,,"Suggestion: move methods currently within the package-private {{MetadataUtils}} into 
AnnotationAttributes, eg:
{code}
AnnotationAttributes.fromMetadata(importMetadata, SomeAnnotation.class);
{code}",,;23/Oct/12 3:25 AM;cbeams;1800,,,,,,,,,,1800,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,9936000,,,,,2019-01-14 20:40:45.515,32736,true,issuemaster(issuemaster),,,,0|i05x2f:,34563,32436,,,,,,"23/Oct/12 3:25 AM;cbeams;Won't Fix/Works as Designed, because {{core.type}} already has a dependencies on {{core.annotation}}. Moving the methods currently in {{MetadataUtils}} into {{core.annotation.AnnotationAttributes}} would establish a cyclic dependency back to {{core.type}} because those methods take parameters of {{core.type}} classes {{AnnotationMetadata}} and {{MethodMetadata}}.",14/Jan/19 8:40 PM;issuemaster;The Spring Framework has migrated to [GitHub Issues|https://github.com/spring-projects/spring-framework/issues]. This issue corresponds to [spring-projects/spring-framework#14544|https://github.com/spring-projects/spring-framework/issues/14544]. ,,,,,,,,,,,,,,,,,,,,,,
Un-@Ignore SpringRunnerContextCacheTests and fix order-dependent issues under JDK7,SPR-9789,45385,,Task,Closed,SPR,Spring Framework,software,juergen.hoeller,"This project has moved all of it's issues to <a href=""https://github.com/spring-projects/spring-framework/issues"">GitHub</a>. Please open new issues there.",http://projects.spring.io/spring-framework/,Minor,Complete,sbrannen,cbeams,cbeams,11/Sep/12 4:14 PM,15/Jan/19 5:27 PM,10/May/19 2:36 AM,13/Oct/12 11:34 AM,,,,,,,,3.2 RC1,,,,,[Build],Test,,,0,jdk7,,,,,,,"{{SpringRunnerContextCacheTests}} suffers from JDK7-related non-determinism in values returned from {{Class#getDeclaredMethods}}, which in turn affects JUnit and its execution of {{@Test}} methods.

This has been remedied for other affected tests in the framework (a) by fixing order-dependent test methods or (b) through the upgrade to JUnit 4.11 snapshot, which includes support for predictable test method ordering in JUnit.

However, because {{spring-test}} has a compile-time dependency on JUnit 4.10, I believe the predictability introduced in 4.11 is not kicking in here.

In any case, to fix this problem, please un-{{@Ignore}} {{SpringRunnerContextCacheTests}} and run the tests under JDK7. Note that these tests succeed for me under OSX JDK1.7.0_08-ea-b03, but do consistently fail under JDK1.7.0_05 on the CI server.",,,,,,,,,,,0,1800,,,0,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,9936000,,,,,2012-10-13 11:34:44.361,32306,true,issuemaster(issuemaster),,,,0|i05ugn:,34141,32006,,,,,,"13/Oct/12 11:34 AM;sbrannen;Completed as described in the comments from [GitHub commit 300d41840b|https://github.com/SpringSource/spring-framework/commit/300d41840b09dba9a0e1bba32d9060916f80bcf9]:

{quote}
*Fix JDK7 method order-dependent issues in SRCCT*

{{SpringRunnerContextCacheTests}} suffers from JDK7-related non-determinism in values returned from {{Class#getDeclaredMethods()}}, which in turn affects JUnit and its execution of @Test methods.

This commit addresses this issue by introducing an {{OrderedMethodsSpringJUnit4ClassRunner}} that sorts the test methods alphabetically, which is actually required for {{SpringRunnerContextCacheTests}} to work properly.
{quote}",14/Jan/19 8:40 PM;issuemaster;The Spring Framework has migrated to [GitHub Issues|https://github.com/spring-projects/spring-framework/issues]. This issue corresponds to [spring-projects/spring-framework#14422|https://github.com/spring-projects/spring-framework/issues/14422]. ,,,,,,,,,,,,,,,,,,,,,,
Make locales in MockHttpServletRequest configurable,SPR-9724,45062,,Improvement,Closed,SPR,Spring Framework,software,juergen.hoeller,"This project has moved all of it's issues to <a href=""https://github.com/spring-projects/spring-framework/issues"">GitHub</a>. Please open new issues there.",http://projects.spring.io/spring-framework/,Minor,Complete,sbrannen,rwinch,rwinch,24/Aug/12 9:33 AM,15/Jan/19 5:27 PM,10/May/19 2:36 AM,27/Oct/12 9:24 AM,3.1.2,,,,,,,3.2 RC1,,,,,Test,,,,0,,,,,,,,"h4. Status Quo

The {{MockHttpServletRequest}} constructor adds {{Locale.ENGLISH}} as the _preferred locale_.

h4. Proposals

It may be nice to default to {{Locale.getDefault()}} instead {{Locale.ENGLISH}}.

It would also be nice to support {{getLocales()}} not returning this hard coded value. One way of doing that is add a setter for the locales. This would make testing edge cases easier.",,,,,,,,,,,0,7200,,,0,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,9936000,,,,,2012-10-27 09:24:33.619,32074,true,issuemaster(issuemaster),,,,0|i05t1b:,33910,31774,,,,,,"27/Oct/12 9:24 AM;sbrannen;Completed as described in the comments for [GitHub commit 591aa01741|https://github.com/SpringSource/spring-framework/commit/591aa017412470f20d6e663ec6416857003c5edf]:

{quote}
*Configurable locales in MockHttpServletRequest*

Prior to this commit the MockHttpServletRequest constructor chain set
the preferred local to Locale.ENGLISH. Furthermore, it was possible to
add additional preferred locales ""in front"" of ENGLISH; however, it was
not possible to delete ENGLISH from the list of preferred locales.

This commit documents the fact that ENGLISH is the default preferred
locale and makes it possible to set the list of preferred locales via a
new setPreferredLocales(List<Locale> locales) method.
{quote}","27/Oct/12 9:25 AM;sbrannen;{quote}It may be nice to default to {{Locale.getDefault()}} instead {{Locale.ENGLISH}}.{quote}

It was not possible to do this since it breaks backward compatibility.",14/Jan/19 8:40 PM;issuemaster;The Spring Framework has migrated to [GitHub Issues|https://github.com/spring-projects/spring-framework/issues]. This issue corresponds to [spring-projects/spring-framework#14358|https://github.com/spring-projects/spring-framework/issues/14358]. ,,,,,,,,,,,,,,,,,,,,,
MockHttpSession does not implement invalidate() properly,SPR-9686,44851,,Improvement,Resolved,SPR,Spring Framework,software,juergen.hoeller,"This project has moved all of it's issues to <a href=""https://github.com/spring-projects/spring-framework/issues"">GitHub</a>. Please open new issues there.",http://projects.spring.io/spring-framework/,Minor,Complete,sbrannen,carlholmes,carlholmes,09/Aug/12 4:54 PM,15/Jan/19 1:15 AM,10/May/19 2:36 AM,16/Aug/12 4:18 AM,3.1.2,,,,,,,3.2 M2,,,,,Test,,,,0,feature-support,specification-compatibility,,,,,,"h4. Status Quo

The {{invalidate()}} method in {{MockHttpSession}} is implemented incorrectly, according to the contract of the method:

{quote}
Throws: java.lang.IllegalStateException if this method is called on an already invalidated session
{quote}

However, invoking {{invalidate()}} on the same {{MockHttpSession}} instance twice does not do this.

h4. Proposal

This can be fixed easily by including a check on the {{invalid}} field, and throwing an {{IllegalStateException}} if it is {{true}} before setting it to {{true}} for the first time.",,"triage, analysis, development, testing, etc.;16/Aug/12 4:20 AM;sbrannen;1800",,,,,,,,,0,1800,,,0,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,9936000,,,,,2012-08-16 04:18:56.306,31898,true,issuemaster(issuemaster),,,,0|i05rzj:,33740,31598,,,,,,"16/Aug/12 4:18 AM;sbrannen;This has been completed as described in the comments for [GitHub commit 8059625670aedbdb1f5b9689ef1a9cbc41b050ec|https://github.com/SpringSource/spring-framework/commit/8059625670aedbdb1f5b9689ef1a9cbc41b050ec].

{quote}
*Implement invalidate() properly in MockHttpSession*

The invalidate() method in MockHttpSession is currently implemented
incorrectly. According to the Servlet specification, the method should
throw an IllegalStateException if it is invoked on an already
invalidated session. However, invoking invalidate() on the same
MockHttpSession instance multiple times does not throw an exception.

This commits addresses this issue by checking the invalid field and
throwing an IllegalStateException if it has already been set to true.
{quote}",14/Jan/19 8:40 PM;issuemaster;The Spring Framework has migrated to [GitHub Issues|https://github.com/spring-projects/spring-framework/issues]. This issue corresponds to [spring-projects/spring-framework#14320|https://github.com/spring-projects/spring-framework/issues/14320]. ,,,,,,,,,,,,,,,,,,,,,,
Add optional AspectJ dependencies where appropriate,SPR-9683,44897,,Task,Resolved,SPR,Spring Framework,software,juergen.hoeller,"This project has moved all of it's issues to <a href=""https://github.com/spring-projects/spring-framework/issues"">GitHub</a>. Please open new issues there.",http://projects.spring.io/spring-framework/,Minor,Complete,cbeams,cbeams,cbeams,13/Aug/12 6:27 AM,15/Jan/19 1:15 AM,10/May/19 2:36 AM,13/Aug/12 6:27 AM,3.2 M1,,,,,,,3.2 M2,,,,,[Build],,,,0,,,,,,,,,,;13/Aug/12 6:28 AM;cbeams;600,,,,,,,,,,600,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,9936000,,,,,2019-01-14 20:40:38.895,31921,true,issuemaster(issuemaster),,,,0|i05s4n:,33763,31621,,,,,,"13/Aug/12 6:27 AM;cbeams;{quote}
{noformat}
commit 81128871be4b9055fc562893c3a7ecd37184fd3b
Author: Chris Beams <cbeams@vmware.com>
Commit: Chris Beams <cbeams@vmware.com>

    Add optional AspectJ dependencies where appropriate
    
    spring-core, spring-aop and spring-context each have compile-time
    dependencies on classes in the aspectjweaver jar. Prior to this commit,
    only spring-core declared an optional dependency on it; now all three
    do.
    
    Issue: SPR-9683
{noformat}
{quote}
",14/Jan/19 8:40 PM;issuemaster;The Spring Framework has migrated to [GitHub Issues|https://github.com/spring-projects/spring-framework/issues]. This issue corresponds to [spring-projects/spring-framework#14317|https://github.com/spring-projects/spring-framework/issues/14317]. ,,,,,,,,,,,,,,,,,,,,,,
